gx,gy,gz,ax,ay,az,time,gesture_type,timestamp
-0.926405489,0.165155932,0.193858713,-0.035083733,0.07418941,0.784901679,34:29.8,tv-poke-02,144.3
-1.044602036,0.123413227,0.20026727,0.026828673,-0.036114037,0.82442826,34:29.8,tv-poke-02,144.35
-1.044602036,0.123413227,0.20026727,0.026828673,-0.036114037,0.82442826,34:29.9,tv-poke-02,144.4
-0.760291398,-0.346645981,-0.086515464,0.032102693,-0.385715991,1.085947275,34:29.9,tv-poke-02,144.45
-0.234795868,-0.332126766,-0.177837342,-0.002981005,-0.442252278,1.117200851,34:30.0,tv-poke-02,144.5
-0.135766312,-0.007259602,-0.134579599,-0.044943858,-0.450559616,1.127771974,34:30.0,tv-poke-02,144.55
0.188475594,-0.108894028,0.434179455,0.021554653,-0.354794085,1.034930468,34:30.1,tv-poke-02,144.6
0.214031607,0.029038407,0.498264968,0.033249218,-0.343486845,1.054234147,34:30.1,tv-poke-02,144.65
0.28750515,0.78040719,0.362083226,-0.130933315,-0.307949752,1.016775727,34:30.2,tv-poke-02,144.7
0.28750515,0.78040719,0.362083226,-0.130933315,-0.307949752,1.016775727,34:30.2,tv-poke-02,144.75
0.317852914,0.769517779,0.395728111,-0.008025719,-0.101188466,0.984832704,34:30.3,tv-poke-02,144.8
0.410493463,0.853003204,-0.051268421,0.06099515,0.269412696,0.994024992,34:30.3,tv-poke-02,144.85
0.159725085,1.021788955,-1.084647536,-0.058014255,0.648090422,0.871308684,34:30.4,tv-poke-02,144.9
0.202850848,0.611621439,-1.046196222,-0.129557475,0.726087451,0.823968649,34:30.4,tv-poke-02,144.95
0.265143633,0.038112909,-0.97249788,-0.190323368,0.765778184,0.88601625,34:30.5,tv-poke-02,145
0.265143633,0.038112909,-0.97249788,-0.190323368,0.765778184,0.88601625,34:30.5,tv-poke-02,145.05
0.456813723,-0.192379445,0.0336449,-0.247878969,0.480096877,0.958864689,34:30.6,tv-poke-02,145.1
0.81619519,-0.123413227,-0.326836199,-0.218986511,0.340486854,0.975870311,34:30.6,tv-poke-02,145.15
0,0,0,0,0,0,34:31.5,tv-poke-02,145.2
0,0,0,0,0,0,34:31.5,tv-poke-02,145.25
0,0,0,0,0,0,34:31.5,tv-poke-02,145.3
0,0,0,0,0,0,34:31.5,tv-poke-02,145.35
0,0,0,0,0,0,34:31.5,tv-poke-02,145.4
0,0,0,0,0,0,34:31.5,tv-poke-02,145.45
0,0,0,0,0,0,34:31.5,tv-poke-02,145.5
0,0,0,0,0,0,34:31.5,tv-poke-02,145.55
0,0,0,0,0,0,34:31.5,tv-poke-02,145.6
0,0,0,0,0,0,34:31.5,tv-poke-02,145.65
0,0,0,0,0,0,34:31.5,tv-poke-02,145.7
0,0,0,0,0,0,34:31.5,tv-poke-02,145.75
0,0,0,0,0,0,34:31.5,tv-poke-02,145.8
0,0,0,0,0,0,34:31.5,tv-poke-02,145.85
0,0,0,0,0,0,34:31.5,tv-poke-02,145.9
0,0,0,0,0,0,34:31.5,tv-poke-02,145.95
0,0,0,0,0,0,34:31.5,tv-poke-02,146
0,0,0,0,0,0,34:31.5,tv-poke-02,146.05
-0.733138144,-0.145192027,0.544726968,-0.147901893,0.58255446,0.969435751,34:32.0,tv-poke-03,146.1
0.257157385,-0.145192027,0.27556777,-0.212795272,0.657090068,0.877513409,34:32.0,tv-poke-03,146.15
0.284310639,-0.201453954,0.549533367,-0.297638208,0.739702284,0.829713821,34:32.1,tv-poke-03,146.2
-0.036736768,-0.232307255,0.557544053,0.001375794,0.411791801,0.903021872,34:32.1,tv-poke-03,146.25
-0.036736768,-0.232307255,0.557544053,0.001375794,0.411791801,0.903021872,34:32.2,tv-poke-03,146.3
-0.586191058,-0.600732028,0.687317252,0.018115075,0.249336526,0.910375655,34:32.2,tv-poke-03,146.35
-0.817792416,-0.188749641,-0.189052299,0.167851374,-0.30102694,0.955877185,34:32.3,tv-poke-03,146.4
-0.204448104,-0.626140654,-0.453405112,0.062829591,-0.536864042,1.068941712,34:32.3,tv-poke-03,146.45
-0.091043293,-0.04355761,-0.257944256,-0.070626043,-0.523710668,1.105710626,34:32.4,tv-poke-03,146.5
-0.091043293,-0.04355761,-0.257944256,-0.070626043,-0.523710668,1.105710626,34:32.4,tv-poke-03,146.55
0.228406861,-0.225047648,0.371696055,0.08025679,-0.382946849,1.03699863,34:32.5,tv-poke-03,146.6
0.260351896,0.136117533,0.821896851,0.168539286,-0.322718412,0.947834015,34:32.5,tv-poke-03,146.65
0.293894142,0.107079126,0.833111823,0.18527858,-0.31210342,0.948063791,34:32.6,tv-poke-03,146.7
0.402507216,0.370239675,0.63444674,0.225177675,-0.211491913,0.922095776,34:32.6,tv-poke-03,146.75
0.231601372,0.067151316,0.44219014,0.179775253,-0.074420258,0.886705637,34:32.7,tv-poke-03,146.8
0.124585561,0.085300319,0.299599826,0.137583092,-0.028729707,0.951051295,34:32.7,tv-poke-03,146.85
0.204448104,0.319422483,-0.27556777,-0.029351104,0.182416022,1.01930356,34:32.8,tv-poke-03,146.9
0.11979381,0.29582876,-0.432577312,-0.068332992,0.546094358,0.972882807,34:32.8,tv-poke-03,146.95
0.285907894,0.397463202,-0.615221024,-0.157074109,0.695627034,0.991956711,34:32.9,tv-poke-03,147
0.367367685,0.395648301,-0.483845711,-0.179316714,0.673012555,0.976100087,34:32.9,tv-poke-03,147.05
0.367367685,0.395648301,-0.483845711,-0.179316714,0.673012555,0.976100087,34:33.0,tv-poke-03,147.1
0.290699661,0.185119838,0.086515464,-0.130474702,0.421945274,0.936803341,34:33.0,tv-poke-03,147.15
0.733138144,0.791296601,0.341255426,-0.213483185,0.469943434,0.914971769,34:33.1,tv-poke-03,147.2
0,0,0,0,0,0,34:33.5,tv-poke-03,147.25
0,0,0,0,0,0,34:33.5,tv-poke-03,147.3
0,0,0,0,0,0,34:33.5,tv-poke-03,147.35
0,0,0,0,0,0,34:33.5,tv-poke-03,147.4
0,0,0,0,0,0,34:33.5,tv-poke-03,147.45
0,0,0,0,0,0,34:33.5,tv-poke-03,147.5
0,0,0,0,0,0,34:33.5,tv-poke-03,147.55
0,0,0,0,0,0,34:33.5,tv-poke-03,147.6
0,0,0,0,0,0,34:33.5,tv-poke-03,147.65
0,0,0,0,0,0,34:33.5,tv-poke-03,147.7
0,0,0,0,0,0,34:33.5,tv-poke-03,147.75
0,0,0,0,0,0,34:33.5,tv-poke-03,147.8
0,0,0,0,0,0,34:33.5,tv-poke-03,147.85
0,0,0,0,0,0,34:33.5,tv-poke-03,147.9
0,0,0,0,0,0,34:33.5,tv-poke-03,147.95
0,0,0,0,0,0,34:33.5,tv-poke-03,148
0,0,0,0,0,0,34:33.5,tv-poke-03,148.05
